0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	130.593
24	130.829
25	130.947
26	131.184
27	131.302
28	131.421
29	131.54
30	131.54
31	131.659
32	131.659
33	131.421
34	130.947
35	130.593
36	130.122
37	129.654
38	129.07
39	128.605
40	128.026
41	127.219
42	125.509
43	123.933
44	122.708
45	121.496
46	120.514
47	118.144
48	115.821
49	113.135
50	111.413
51	110.511
52	109.222
53	108.143
54	106.401
55	104.78
56	104.027
57	103.092
58	102.721
59	102.351
60	101.798
61	100.883
62	100.338
63	99.7062
64	99.0783
65	99.3471
66	99.5263
67	99.7963
68	100.157
69	100.519
70	100.792
71	101.065
72	101.614
73	102.074
74	102.443
75	102.721
76	102.999
77	103.371
78	104.215
79	105.54
80	106.593
81	108.339
82	109.716
83	111.011
84	111.715
85	113.033
86	115.092
87	116.345
88	118.038
89	119.538
90	120.514
91	122.046
92	123.486
93	125.396
94	127.449
95	128.373
96	129.537
97	130.475
98	131.184
99	132.493
100	133.694
101	134.906
102	135.516
103	135.639
104	135.639
105	135.639
106	135.639
107	135.639
108	135.639
109	135.516
110	135.15
111	134.541
112	133.815
113	133.333
114	133.092
115	132.732
116	132.613
117	132.373
118	132.254
119	132.015
120	131.777
121	131.54
122	131.659
123	132.134
124	132.972
125	133.694
126	134.906
127	135.883
128	136.622
129	136.498
130	136.252
131	136.006
132	135.761
133	135.516
134	135.272
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	112.727
148	114.47
149	118.144
150	119.971
151	122.93
152	125.057
153	126.191
154	126.876
155	127.564
156	128.257
157	129.186
158	130.475
159	131.54
160	132.972
161	133.333
162	133.935
163	135.028
164	136.006
165	137.363
166	138.109
167	138.859
168	139.992
169	141.261
170	142.156
171	142.799
172	143.964
173	144.615
174	145.007
175	145.4
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
